https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AR,Volume BUSD,tradecount
1676764800000,2023-02-19,ARBUSD,12.36,13.84,12.36,12.53,596186.11,7819379.6147,30502
1676678400000,2023-02-18,ARBUSD,13.37,13.78,12.23,12.37,266539.53,3440804.0877,16711
1676592000000,2023-02-17,ARBUSD,11.46,14.12,11.41,13.38,648798.06,8563282.5819,32086
1676505600000,2023-02-16,ARBUSD,12.16,12.88,11.38,11.46,214813.74,2625825.0682,11848
1676419200000,2023-02-15,ARBUSD,11.18,12.17,10.97,12.14,185495.6,2149875.2358,10491
1676332800000,2023-02-14,ARBUSD,10.38,11.31,10.31,11.17,177466.75,1907834.8083,11058
1676246400000,2023-02-13,ARBUSD,11.12,11.27,10.03,10.38,208330.91,2216561.3945,10589
1676160000000,2023-02-12,ARBUSD,11.69,11.72,10.92,11.12,165677.9,1888569.1024,8291
1676073600000,2023-02-11,ARBUSD,10.52,12.02,10.42,11.7,350354.33,3925683.1963,15133
1675987200000,2023-02-10,ARBUSD,10.47,10.72,10.18,10.5,293299.94,3062886.8087,11271
1675900800000,2023-02-09,ARBUSD,11.95,12.2,10.04,10.47,475679.72,5339634.5385,19513
1675814400000,2023-02-08,ARBUSD,12.7,13.58,11.45,11.94,712270.07,8982778.4334,26717
1675728000000,2023-02-07,ARBUSD,11.0,12.85,10.99,12.7,606940.29,7359289.5853,25046
1675641600000,2023-02-06,ARBUSD,11.54,11.87,10.96,10.99,181679.09,2077640.9794,9672
1675555200000,2023-02-05,ARBUSD,12.02,12.11,10.88,11.53,226599.7,2631066.5619,10939
1675468800000,2023-02-04,ARBUSD,12.41,12.61,11.97,12.01,166664.07,2037564.2249,9022
1675382400000,2023-02-03,ARBUSD,12.08,12.7,11.69,12.41,442518.62,5358418.8826,17800
1675296000000,2023-02-02,ARBUSD,12.41,12.78,11.87,12.07,915774.43,11332821.8406,38760
1675209600000,2023-02-01,ARBUSD,10.56,12.89,10.47,12.41,1617403.48,18825177.3723,60700
1675123200000,2023-01-31,ARBUSD,10.08,10.77,9.99,10.54,146345.17,1518704.9319,8556
1675036800000,2023-01-30,ARBUSD,10.92,11.2,9.8,10.09,327394.78,3426836.7908,14907
1674950400000,2023-01-29,ARBUSD,10.23,11.02,9.74,10.92,318251.26,3370376.0065,10732
1674864000000,2023-01-28,ARBUSD,10.36,10.58,9.9,10.23,136971.03,1404279.7913,7300
1674777600000,2023-01-27,ARBUSD,10.08,10.36,9.73,10.36,144590.52,1454197.6869,7816
1674691200000,2023-01-26,ARBUSD,10.29,10.88,9.8,10.06,226187.43,2293515.0858,10031
1674604800000,2023-01-25,ARBUSD,9.78,10.62,9.35,10.27,275723.12,2775646.2986,13840
1674518400000,2023-01-24,ARBUSD,9.82,10.88,9.6,9.79,300482.61,3093781.8767,12252
1674432000000,2023-01-23,ARBUSD,9.72,10.27,9.57,9.81,200041.43,1990498.1013,9700
1674345600000,2023-01-22,ARBUSD,9.24,10.66,9.22,9.71,343331.41,3376323.2482,13083
