https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SAND,Volume USDT,tradecount
1759622400000,2025-10-05,SANDUSDT,0.2783,0.2902,0.2738,0.2761,19560146.0,5520492.1392,39119
1759536000000,2025-10-04,SANDUSDT,0.2877,0.2889,0.2754,0.2782,13961345.0,3921187.7932,25028
1759449600000,2025-10-03,SANDUSDT,0.2872,0.2926,0.2804,0.2877,22462037.0,6425641.6662,40814
1759363200000,2025-10-02,SANDUSDT,0.2786,0.2888,0.2771,0.2872,23766444.0,6718370.5897,34354
1759276800000,2025-10-01,SANDUSDT,0.2649,0.2789,0.2619,0.2786,20494625.0,5586034.0291,35565
1759190400000,2025-09-30,SANDUSDT,0.2669,0.2678,0.2576,0.2649,13476087.0,3539233.7066,28294
1759104000000,2025-09-29,SANDUSDT,0.2705,0.2708,0.2616,0.2668,21119541.0,5626561.609,29881
1759017600000,2025-09-28,SANDUSDT,0.2626,0.2714,0.2569,0.2704,12423806.0,3274257.2657,22048
1758931200000,2025-09-27,SANDUSDT,0.2656,0.2667,0.2611,0.2625,7878511.0,2078034.1292,17976
1758844800000,2025-09-26,SANDUSDT,0.2583,0.2674,0.2553,0.2655,15229336.0,3978443.4089,43257
1758758400000,2025-09-25,SANDUSDT,0.2741,0.2746,0.2545,0.2582,21082140.0,5577515.9203,46782
1758672000000,2025-09-24,SANDUSDT,0.2713,0.2774,0.2667,0.2739,9536785.0,2608928.8558,22839
1758585600000,2025-09-23,SANDUSDT,0.2724,0.2774,0.2671,0.2712,11319924.0,3089629.8285,21492
1758499200000,2025-09-22,SANDUSDT,0.2932,0.2941,0.2604,0.2725,42674553.0,11649227.716,74435
1758412800000,2025-09-21,SANDUSDT,0.2998,0.3024,0.293,0.293,8424202.0,2502128.235,19435
1758326400000,2025-09-20,SANDUSDT,0.2986,0.304,0.2957,0.2998,18109162.0,5436272.5906,27300
1758240000000,2025-09-19,SANDUSDT,0.3127,0.3191,0.296,0.2986,16668986.0,5142992.806,33892
1758153600000,2025-09-18,SANDUSDT,0.3103,0.3169,0.3068,0.3126,15410326.0,4802711.7479,27707
1758067200000,2025-09-17,SANDUSDT,0.3014,0.3127,0.2955,0.3103,14321782.0,4335205.1278,38654
1757980800000,2025-09-16,SANDUSDT,0.2953,0.3041,0.2916,0.3013,11169716.0,3333956.4899,25664
1757894400000,2025-09-15,SANDUSDT,0.3096,0.3148,0.2897,0.2953,35450614.0,10667452.6706,60133
1757808000000,2025-09-14,SANDUSDT,0.3282,0.3284,0.3045,0.3096,20402632.0,6427331.2387,35125
1757721600000,2025-09-13,SANDUSDT,0.3138,0.334,0.3127,0.3282,59992618.0,19341511.6978,89254
1757635200000,2025-09-12,SANDUSDT,0.3039,0.3165,0.2965,0.3137,28132501.0,8682504.7702,35730
1757548800000,2025-09-11,SANDUSDT,0.3,0.3053,0.2951,0.3039,13893356.0,4175522.2095,25881
1757462400000,2025-09-10,SANDUSDT,0.2942,0.3029,0.2916,0.3,11377627.0,3387080.5007,23966
1757376000000,2025-09-09,SANDUSDT,0.2968,0.3048,0.2905,0.2941,21603360.0,6400726.858,41043
1757289600000,2025-09-08,SANDUSDT,0.2881,0.2987,0.2871,0.2967,15257650.0,4488251.9993,22916
1757203200000,2025-09-07,SANDUSDT,0.2813,0.2906,0.2803,0.288,9927942.0,2846812.0308,13756
1757116800000,2025-09-06,SANDUSDT,0.2848,0.2876,0.2779,0.2812,8203013.0,2318089.8405,13342
1757030400000,2025-09-05,SANDUSDT,0.2719,0.2925,0.2711,0.2849,23798746.0,6752783.0855,40769
1756944000000,2025-09-04,SANDUSDT,0.2813,0.2833,0.2695,0.272,9680393.0,2669282.6039,15395
1756857600000,2025-09-03,SANDUSDT,0.2769,0.2839,0.2742,0.2811,11466175.0,3206553.9366,18301
1756771200000,2025-09-02,SANDUSDT,0.2687,0.2774,0.2665,0.2769,12551310.0,3429366.4457,21399
1756684800000,2025-09-01,SANDUSDT,0.2771,0.2819,0.2625,0.2687,19787385.0,5377810.8601,30743
1756598400000,2025-08-31,SANDUSDT,0.273,0.2878,0.2729,0.2771,22980472.0,6469985.8097,27082
1756512000000,2025-08-30,SANDUSDT,0.2736,0.2783,0.2691,0.273,9613362.0,2632967.5886,13498
1756425600000,2025-08-29,SANDUSDT,0.2849,0.2856,0.2694,0.2735,22073043.0,6096374.9992,38427
1756339200000,2025-08-28,SANDUSDT,0.2796,0.2865,0.2771,0.2848,17367672.0,4890870.277,26601
1756252800000,2025-08-27,SANDUSDT,0.2815,0.2862,0.2781,0.2796,15447422.0,4351219.4749,29640
1756166400000,2025-08-26,SANDUSDT,0.2719,0.2834,0.2687,0.2814,34231494.0,9429953.0915,53290
1756080000000,2025-08-25,SANDUSDT,0.2946,0.2985,0.2669,0.2718,21045032.0,5918417.3925,57639
1755993600000,2025-08-24,SANDUSDT,0.3011,0.3081,0.2893,0.2947,19906755.0,5898706.8043,44563
1755907200000,2025-08-23,SANDUSDT,0.3044,0.3069,0.2945,0.301,10585015.0,3176936.2152,21218
1755820800000,2025-08-22,SANDUSDT,0.2757,0.3086,0.2677,0.3044,25624741.0,7470168.8783,65466
1755734400000,2025-08-21,SANDUSDT,0.2838,0.2871,0.2747,0.2758,9678980.0,2713810.4208,21001
